area,emirate,unit_type,min_rent_aed,max_rent_aed,avg_rent_aed,price_per_sqft,rental_yield_pct,villa_min_aed,villa_max_aed,metro_access,mall_nearby,best_for,notes
Mirdif,Dubai,1BR,42000,65000,53000,65,7.5,,,No,Mirdiff City Centre,Families,Mostly villas and townhouses. Low-rise apartments.
Mirdif,Dubai,2BR,62000,92000,77000,62,7.2,,,No,Mirdiff City Centre,Families,Large family community. Good international schools.
Jumeirah,Dubai,Villa 3BR,200000,350000,275000,,,200000,350000,No,Mercato Mall,Affluent families,Prestigious villa area. Beach access. Top schools.
Jumeirah,Dubai,Villa 4BR,300000,500000,400000,,,300000,500000,No,Mercato Mall,Affluent families,Expatriate favourite. Large plots. Private pools.
Emirates Hills,Dubai,Villa 4BR,400000,700000,550000,,,400000,700000,No,Dubai Marina Mall,Ultra high net worth,Gated community. Golf course views. Very exclusive.
Palm Jumeirah,Dubai,1BR,130000,200000,165000,210,4.8,,,Yes,Nakheel Mall,Luxury seekers,Iconic island. Monorail access. Premium lifestyle.
Palm Jumeirah,Dubai,2BR,200000,350000,275000,200,4.5,,,Yes,Nakheel Mall,Families / executives,Sea views from most units. High service charges.
Palm Jumeirah,Dubai,Villa 4BR,500000,1200000,800000,,,500000,1200000,Yes,Nakheel Mall,Ultra luxury,Frond villas. Private beach. World-class amenities.
DIFC,Dubai,Studio,80000,110000,95000,200,5.5,,,Yes,Gate Village,Finance professionals,Financial hub. Walking distance to courts and offices.
DIFC,Dubai,1BR,120000,180000,150000,195,5.2,,,Yes,Gate Village,Professionals / couples,Premium serviced apartments. Top restaurants nearby.
